 JULDAY,   TIME,  TRANS,LEAFPOT, RTPOT1, RTPOT2, RTPOT3, RTPOT4, RTPOT5, RTPOT6, RTPOT7, RTPOT8, RTPOT9,RTPOT10
166.,    600.00,      6.21,    -15.22,     -9.38,     -8.76,     -8.58,     -8.73,     -9.17,    -10.06,    -11.47,    -11.53,    -10.38,      0.00
166.,    660.00,      9.04,    -17.88,     -9.85,     -9.00,     -8.72,     -8.80,     -9.18,    -10.02,    -11.45,    -11.53,    -10.38,      0.00
166.,    720.00,     11.32,    -20.05,    -10.39,     -9.28,     -8.88,     -8.88,     -9.20,     -9.99,    -11.43,    -11.54,    -10.38,      0.00
166.,    780.00,     10.57,    -19.46,    -10.76,     -9.55,     -9.06,     -8.97,     -9.23,     -9.96,    -11.40,    -11.54,    -10.38,      0.00
166.,    840.00,      9.84,    -18.88,    -11.05,     -9.79,     -9.23,     -9.06,     -9.26,     -9.94,    -11.37,    -11.53,    -10.39,      0.00
166.,    900.00,      9.35,    -18.52,    -11.31,    -10.02,     -9.41,     -9.16,     -9.31,     -9.92,    -11.33,    -11.53,    -10.39,      0.00
166.,    960.00,      8.71,    -18.02,    -11.53,    -10.22,     -9.57,     -9.27,     -9.36,     -9.91,    -11.30,    -11.53,    -10.39,      0.00
166.,   1020.00,      7.94,    -17.40,    -11.70,    -10.40,     -9.72,     -9.37,     -9.41,     -9.91,    -11.27,    -11.53,    -10.39,      0.00
166.,   1080.00,      6.94,    -16.57,    -11.80,    -10.56,     -9.87,     -9.47,     -9.47,     -9.91,    -11.23,    -11.52,    -10.39,      0.00
166.,   1140.00,      6.27,    -16.02,    -11.89,    -10.70,    -10.00,     -9.57,     -9.53,     -9.92,    -11.20,    -11.52,    -10.40,      0.00
166.,   1200.00,      4.83,    -14.77,    -11.87,    -10.81,    -10.12,     -9.67,     -9.59,     -9.92,    -11.17,    -11.51,    -10.40,      0.00
166.,   1260.00,      4.62,    -14.64,    -11.91,    -10.90,    -10.23,     -9.76,     -9.65,     -9.94,    -11.14,    -11.51,    -10.40,      0.00
166.,   1320.00,      3.55,    -13.71,    -11.88,    -10.97,    -10.32,     -9.84,     -9.71,     -9.95,    -11.11,    -11.51,    -10.40,      0.00
166.,   1380.00,      3.61,    -13.81,    -11.92,    -11.04,    -10.41,     -9.93,     -9.77,     -9.97,    -11.09,    -11.50,    -10.40,      0.00
196.,      0.00,      7.88,    -16.45,     -5.50,     -5.94,     -8.24,     -9.91,     -9.88,    -10.03,    -11.06,    -11.51,    -10.41,      0.00
196.,     60.00,      3.41,    -12.29,     -6.58,     -6.61,     -7.58,     -9.36,     -9.86,    -10.04,    -11.03,    -11.50,    -10.41,      0.00
196.,    120.00,      1.89,    -10.88,     -7.15,     -7.06,     -7.60,     -8.90,     -9.72,    -10.06,    -11.00,    -11.49,    -10.41,      0.00
196.,    180.00,      0.67,     -9.78,     -7.51,     -7.38,     -7.71,     -8.67,     -9.55,    -10.05,    -10.98,    -11.48,    -10.42,      0.00
196.,    240.00,      0.35,     -9.50,     -7.79,     -7.62,     -7.83,     -8.56,     -9.39,    -10.03,    -10.96,    -11.48,    -10.42,      0.00
196.,    300.00,      0.83,     -9.96,     -8.04,     -7.83,     -7.96,     -8.52,     -9.26,     -9.99,    -10.95,    -11.48,    -10.42,      0.00
196.,    360.00,      1.41,    -10.53,     -8.28,     -8.02,     -8.08,     -8.52,     -9.17,     -9.95,    -10.94,    -11.47,    -10.42,      0.00
196.,    420.00,      2.39,    -11.46,     -8.53,     -8.20,     -8.20,     -8.54,     -9.11,     -9.90,    -10.92,    -11.47,    -10.42,      0.00
196.,    480.00,      3.48,    -12.51,     -8.80,     -8.39,     -8.32,     -8.57,     -9.07,     -9.85,    -10.91,    -11.47,    -10.43,      0.00
196.,    540.00,      5.06,    -14.00,     -9.11,     -8.58,     -8.44,     -8.62,     -9.05,     -9.80,    -10.90,    -11.47,    -10.43,      0.00
196.,    600.00,      6.84,    -15.69,     -9.47,     -8.79,     -8.57,     -8.68,     -9.05,     -9.76,    -10.88,    -11.47,    -10.43,      0.00
196.,    660.00,     11.29,    -19.83,    -10.07,     -9.06,     -8.72,     -8.75,     -9.06,     -9.73,    -10.88,    -11.48,    -10.43,      0.00
196.,    720.00,     11.21,    -19.85,    -10.51,     -9.34,     -8.89,     -8.83,     -9.08,     -9.71,    -10.86,    -11.47,    -10.43,      0.00
196.,    780.00,     11.17,    -19.90,    -10.91,     -9.61,     -9.07,     -8.92,     -9.10,     -9.68,    -10.84,    -11.47,    -10.44,      0.00
196.,    840.00,     10.74,    -19.60,    -11.24,     -9.86,     -9.24,     -9.01,     -9.14,     -9.67,    -10.82,    -11.46,    -10.44,      0.00
196.,    900.00,     10.19,    -19.19,    -11.52,    -10.09,     -9.42,     -9.11,     -9.19,     -9.66,    -10.79,    -11.46,    -10.44,      0.00
196.,    960.00,      9.48,    -18.64,    -11.75,    -10.31,     -9.58,     -9.22,     -9.24,     -9.66,    -10.77,    -11.45,    -10.44,      0.00
196.,   1020.00,      8.63,    -17.95,    -11.92,    -10.50,     -9.74,     -9.32,     -9.29,     -9.66,    -10.75,    -11.44,    -10.45,      0.00
196.,   1080.00,      7.50,    -16.99,    -12.02,    -10.66,     -9.89,     -9.42,     -9.35,     -9.66,    -10.72,    -11.44,    -10.45,      0.00
196.,   1140.00,      6.83,    -16.46,    -12.11,    -10.80,    -10.02,     -9.52,     -9.41,     -9.67,    -10.70,    -11.43,    -10.45,      0.00
196.,   1200.00,      5.13,    -14.96,    -12.06,    -10.91,    -10.14,     -9.62,     -9.47,     -9.69,    -10.68,    -11.42,    -10.45,      0.00
196.,   1260.00,      5.15,    -15.04,    -12.12,    -11.00,    -10.25,     -9.71,     -9.53,     -9.70,    -10.66,    -11.41,    -10.45,      0.00
196.,   1320.00,      3.74,    -13.81,    -12.05,    -11.07,    -10.35,     -9.80,     -9.59,     -9.72,    -10.64,    -11.41,    -10.46,      0.00
196.,   1380.00,      4.09,    -14.18,    -12.11,    -11.13,    -10.44,     -9.88,     -9.66,     -9.75,    -10.62,    -11.40,    -10.46,      0.00
227.,      0.00,      7.54,    -16.05,     -5.51,     -5.95,     -8.27,     -9.87,     -9.77,     -9.80,    -10.60,    -11.40,    -10.46,      0.00
227.,     60.00,      3.47,    -12.25,     -6.60,     -6.62,     -7.60,     -9.32,     -9.75,     -9.82,    -10.58,    -11.38,    -10.46,      0.00
227.,    120.00,      2.10,    -10.98,     -7.17,     -7.07,     -7.60,     -8.87,     -9.62,     -9.84,    -10.56,    -11.37,    -10.47,      0.00
227.,    180.00,      1.20,    -10.17,     -7.55,     -7.39,     -7.71,     -8.64,     -9.45,     -9.84,    -10.55,    -11.36,    -10.47,      0.00
227.,    240.00,      0.53,     -9.57,     -7.82,     -7.64,     -7.84,     -8.53,     -9.29,     -9.82,    -10.54,    -11.36,    -10.47,      0.00
227.,    300.00,      0.37,     -9.46,     -8.04,     -7.84,     -7.96,     -8.49,     -9.17,     -9.79,    -10.53,    -11.35,    -10.47,      0.00
227.,    360.00,      0.78,     -9.86,     -8.25,     -8.02,     -8.07,     -8.48,     -9.08,     -9.74,    -10.52,    -11.34,    -10.48,      0.00
