 JULDAY,   TIME,    PT1,    PT2,    PT3,    PT4,    PT5,    PT6,    PT7,    PT8,    PT9,   PT10
 15.,    900.00,    -74.91,    -41.68,    -78.07,    -50.40,    -24.25,    -14.76,    -10.94,    -10.28,    -10.21,     -1.10
 15.,    960.00,    -79.19,    -43.24,    -74.88,    -49.20,    -24.20,    -14.88,    -10.99,    -10.28,    -10.21,     -1.10
 15.,   1020.00,    -80.33,    -44.70,    -72.16,    -48.06,    -24.17,    -14.99,    -11.05,    -10.29,    -10.21,     -1.10
 15.,   1080.00,    -80.29,    -46.05,    -69.83,    -46.99,    -24.13,    -15.10,    -11.11,    -10.29,    -10.21,     -1.10
 15.,   1140.00,    -79.85,    -47.28,    -67.81,    -45.97,    -24.11,    -15.20,    -11.16,    -10.30,    -10.21,     -1.10
 15.,   1200.00,    -79.15,    -48.39,    -66.05,    -45.02,    -24.09,    -15.30,    -11.22,    -10.30,    -10.21,     -1.10
 15.,   1260.00,    -78.30,    -49.39,    -64.48,    -44.11,    -24.07,    -15.40,    -11.27,    -10.31,    -10.21,     -1.10
 15.,   1320.00,    -77.11,    -50.28,    -63.07,    -43.26,    -24.05,    -15.49,    -11.33,    -10.31,    -10.21,     -1.10
 15.,   1380.00,    -76.02,    -51.06,    -61.78,    -42.45,    -24.03,    -15.58,    -11.38,    -10.32,    -10.21,     -1.10
 46.,      0.00,     -5.79,     -8.66,    -53.98,    -40.93,    -23.99,    -15.75,    -11.48,    -10.33,    -10.21,     -1.10
 46.,     60.00,     -8.37,    -10.11,    -36.00,    -40.14,    -23.94,    -15.83,    -11.53,    -10.34,    -10.21,     -1.10
 46.,    120.00,     -9.93,    -11.32,    -26.71,    -39.25,    -23.90,    -15.90,    -11.58,    -10.34,    -10.21,     -1.10
 46.,    180.00,    -11.09,    -12.36,    -22.81,    -38.14,    -23.85,    -15.97,    -11.63,    -10.35,    -10.21,     -1.10
 46.,    240.00,    -12.04,    -13.22,    -21.15,    -36.76,    -23.79,    -16.03,    -11.68,    -10.35,    -10.21,     -1.10
 46.,    300.00,    -12.84,    -13.94,    -20.43,    -35.15,    -23.72,    -16.09,    -11.72,    -10.36,    -10.22,     -1.10
 46.,    360.00,    -13.55,    -14.56,    -20.10,    -33.43,    -23.64,    -16.15,    -11.77,    -10.36,    -10.22,     -1.10
 46.,    420.00,    -14.18,    -15.10,    -19.94,    -31.72,    -23.54,    -16.21,    -11.81,    -10.37,    -10.22,     -1.10
 46.,    480.00,    -14.89,    -15.60,    -19.86,    -30.12,    -23.41,    -16.27,    -11.86,    -10.38,    -10.22,     -1.10
 46.,    540.00,    -16.10,    -16.13,    -19.84,    -28.70,    -23.26,    -16.32,    -11.90,    -10.38,    -10.22,     -1.10
 46.,    600.00,    -18.12,    -16.77,    -19.87,    -27.47,    -23.10,    -16.37,    -11.94,    -10.39,    -10.22,     -1.10
 46.,    660.00,    -21.37,    -17.57,    -19.97,    -26.45,    -22.91,    -16.42,    -11.99,    -10.40,    -10.22,     -1.10
 46.,    720.00,    -26.06,    -18.54,    -20.15,    -25.59,    -22.72,    -16.47,    -12.03,    -10.41,    -10.22,     -1.10
 46.,    780.00,    -31.00,    -19.60,    -20.40,    -24.89,    -22.51,    -16.51,    -12.07,    -10.41,    -10.22,     -1.10
 46.,    840.00,    -35.35,    -20.66,    -20.70,    -24.31,    -22.29,    -16.55,    -12.11,    -10.42,    -10.22,     -1.10
 46.,    900.00,    -38.23,    -21.68,    -21.04,    -23.85,    -22.07,    -16.58,    -12.15,    -10.43,    -10.22,     -1.10
 46.,    960.00,    -38.92,    -22.59,    -21.38,    -23.46,    -21.85,    -16.61,    -12.19,    -10.44,    -10.22,     -1.10
 46.,   1020.00,    -37.80,    -23.38,    -21.72,    -23.16,    -21.63,    -16.64,    -12.23,    -10.45,    -10.22,     -1.10
 46.,   1080.00,    -36.26,    -24.04,    -22.03,    -22.91,    -21.43,    -16.66,    -12.27,    -10.45,    -10.22,     -1.10
 46.,   1140.00,    -34.95,    -24.56,    -22.33,    -22.71,    -21.23,    -16.67,    -12.31,    -10.46,    -10.22,     -1.10
 46.,   1200.00,    -33.89,    -24.98,    -22.60,    -22.55,    -21.05,    -16.68,    -12.35,    -10.47,    -10.22,     -1.10
 46.,   1260.00,    -33.04,    -25.30,    -22.83,    -22.43,    -20.89,    -16.69,    -12.38,    -10.48,    -10.22,     -1.10
 46.,   1320.00,    -32.22,    -25.55,    -23.04,    -22.32,    -20.74,    -16.70,    -12.42,    -10.49,    -10.22,     -1.10
 46.,   1380.00,    -31.63,    -25.74,    -23.22,    -22.24,    -20.60,    -16.70,    -12.45,    -10.50,    -10.22,     -1.10
 74.,      0.00,     -5.98,     -7.78,    -19.58,    -22.07,    -20.36,    -16.70,    -12.52,    -10.51,    -10.22,     -1.10
 74.,     60.00,     -7.92,     -8.79,    -14.77,    -21.69,    -20.25,    -16.69,    -12.55,    -10.52,    -10.22,     -1.10
 74.,    120.00,     -9.04,     -9.62,    -13.34,    -20.82,    -20.12,    -16.69,    -12.59,    -10.53,    -10.23,     -1.10
 74.,    180.00,     -9.83,    -10.26,    -12.98,    -19.71,    -19.96,    -16.68,    -12.62,    -10.54,    -10.23,     -1.10
 74.,    240.00,    -10.43,    -10.77,    -12.92,    -18.65,    -19.74,    -16.67,    -12.65,    -10.55,    -10.23,     -1.10
 74.,    300.00,    -10.91,    -11.20,    -12.97,    -17.80,    -19.46,    -16.66,    -12.68,    -10.56,    -10.23,     -1.10
 74.,    360.00,    -11.33,    -11.55,    -13.06,    -17.16,    -19.13,    -16.64,    -12.71,    -10.57,    -10.23,     -1.10
 74.,    420.00,    -11.73,    -11.87,    -13.17,    -16.68,    -18.79,    -16.62,    -12.74,    -10.58,    -10.23,     -1.10
 74.,    480.00,    -12.44,    -12.21,    -13.29,    -16.32,    -18.44,    -16.59,    -12.76,    -10.59,    -10.23,     -1.10
 74.,    540.00,    -13.63,    -12.64,    -13.43,    -16.06,    -18.12,    -16.55,    -12.79,    -10.59,    -10.23,     -1.10
 74.,    600.00,    -15.56,    -13.21,    -13.63,    -15.87,    -17.82,    -16.51,    -12.82,    -10.60,    -10.23,     -1.10
 74.,    660.00,    -18.73,    -13.95,    -13.89,    -15.75,    -17.55,    -16.47,    -12.85,    -10.61,    -10.23,     -1.10
 74.,    720.00,    -23.15,    -14.84,    -14.22,    -15.68,    -17.32,    -16.42,    -12.87,    -10.63,    -10.23,     -1.10
 74.,    780.00,    -27.85,    -15.79,    -14.60,    -15.67,    -17.12,    -16.36,    -12.90,    -10.64,    -10.23,     -1.10
 74.,    840.00,    -32.05,    -16.74,    -15.02,    -15.69,    -16.95,    -16.30,    -12.92,    -10.65,    -10.23,     -1.10
 74.,    900.00,    -34.99,    -17.62,    -15.44,    -15.75,    -16.80,    -16.24,    -12.95,    -10.66,    -10.23,     -1.10
 74.,    960.00,    -35.72,    -18.43,    -15.86,    -15.84,    -16.68,    -16.18,    -12.97,    -10.67,    -10.23,     -1.10
 74.,   1020.00,    -34.26,    -19.11,    -16.26,    -15.94,    -16.58,    -16.11,    -12.99,    -10.68,    -10.23,     -1.10
 74.,   1080.00,    -31.85,    -19.65,    -16.64,    -16.05,    -16.50,    -16.04,    -13.01,    -10.69,    -10.23,     -1.10
 74.,   1140.00,    -29.75,    -20.05,    -16.98,    -16.16,    -16.44,    -15.98,    -13.03,    -10.70,    -10.24,     -1.10
 74.,   1200.00,    -28.17,    -20.33,    -17.29,    -16.28,    -16.40,    -15.92,    -13.05,    -10.71,    -10.24,     -1.10
 74.,   1260.00,    -26.97,    -20.53,    -17.56,    -16.40,    -16.37,    -15.86,    -13.07,    -10.72,    -10.24,     -1.10
 74.,   1320.00,    -26.04,    -20.65,    -17.79,    -16.52,    -16.35,    -15.81,    -13.09,    -10.73,    -10.24,     -1.10
 74.,   1380.00,    -25.25,    -20.72,    -17.99,    -16.63,    -16.35,    -15.76,    -13.10,    -10.74,    -10.24,     -1.10
105.,      0.00,     -4.97,     -5.93,    -13.07,    -16.76,    -16.35,    -15.68,    -13.13,    -10.76,    -10.24,     -1.10
105.,     60.00,     -6.61,     -7.00,     -9.95,    -16.04,    -16.33,    -15.64,    -13.15,    -10.77,    -10.24,     -1.10
105.,    120.00,     -7.53,     -7.75,     -9.58,    -14.76,    -16.23,    -15.60,    -13.16,    -10.78,    -10.24,     -1.10
105.,    180.00,     -8.18,     -8.30,     -9.63,    -13.67,    -15.99,    -15.57,    -13.17,    -10.79,    -10.24,     -1.10
105.,    240.00,     -8.66,     -8.73,     -9.77,    -12.97,    -15.64,    -15.53,    -13.18,    -10.80,    -10.24,     -1.10
105.,    300.00,     -9.06,     -9.09,     -9.94,    -12.54,    -15.24,    -15.47,    -13.19,    -10.81,    -10.24,     -1.10
105.,    360.00,     -9.43,     -9.40,    -10.10,    -12.27,    -14.84,    -15.41,    -13.20,    -10.82,    -10.24,     -1.10
105.,    420.00,     -9.90,     -9.70,    -10.26,    -12.11,    -14.50,    -15.33,    -13.21,    -10.83,    -10.25,     -1.10
105.,    480.00,    -10.74,    -10.07,    -10.44,    -12.02,    -14.20,    -15.24,    -13.22,    -10.84,    -10.25,     -1.10
105.,    540.00,    -11.97,    -10.55,    -10.66,    -11.98,    -13.96,    -15.13,    -13.23,    -10.85,    -10.25,     -1.10
105.,    600.00,    -13.85,    -11.15,    -10.93,    -11.99,    -13.76,    -15.02,    -13.24,    -10.86,    -10.25,     -1.10
105.,    660.00,    -16.88,    -11.91,    -11.27,    -12.05,    -13.61,    -14.91,    -13.24,    -10.87,    -10.25,     -1.10
105.,    720.00,    -21.17,    -12.78,    -11.66,    -12.14,    -13.50,    -14.80,    -13.25,    -10.88,    -10.25,     -1.10
105.,    780.00,    -25.87,    -13.71,    -12.09,    -12.27,    -13.43,    -14.69,    -13.26,    -10.89,    -10.25,     -1.10
105.,    840.00,    -30.43,    -14.63,    -12.54,    -12.43,    -13.38,    -14.58,    -13.26,    -10.90,    -10.25,     -1.10
105.,    900.00,    -33.89,    -15.49,    -13.00,    -12.61,    -13.36,    -14.48,    -13.26,    -10.91,    -10.25,     -1.10
105.,    960.00,    -35.18,    -16.27,    -13.43,    -12.80,    -13.36,    -14.39,    -13.27,    -10.92,    -10.25,     -1.10
105.,   1020.00,    -33.99,    -16.94,    -13.85,    -12.99,    -13.38,    -14.30,    -13.27,    -10.93,    -10.25,     -1.10
105.,   1080.00,    -31.18,    -17.48,    -14.24,    -13.18,    -13.42,    -14.23,    -13.26,    -10.94,    -10.26,     -1.10
105.,   1140.00,    -28.26,    -17.86,    -14.59,    -13.37,    -13.46,    -14.16,    -13.26,    -10.95,    -10.26,     -1.10
105.,   1200.00,    -26.04,    -18.11,    -14.91,    -13.55,    -13.51,    -14.11,    -13.26,    -10.96,    -10.26,     -1.10
105.,   1260.00,    -24.46,    -18.25,    -15.18,    -13.73,    -13.58,    -14.06,    -13.25,    -10.97,    -10.26,     -1.10
105.,   1320.00,    -23.33,    -18.32,    -15.42,    -13.90,    -13.64,    -14.02,    -13.25,    -10.98,    -10.26,     -1.10
105.,   1380.00,    -22.37,    -18.33,    -15.61,    -14.06,    -13.71,    -13.99,    -13.24,    -10.99,    -10.26,     -1.10
135.,      0.00,     -5.53,     -6.54,    -12.23,    -14.27,    -13.85,    -13.94,    -13.23,    -11.01,    -10.26,     -1.10
135.,     60.00,     -7.07,     -7.44,     -9.96,    -13.77,    -13.89,    -13.93,    -13.22,    -11.02,    -10.26,     -1.10
135.,    120.00,     -7.90,     -8.08,     -9.60,    -12.95,    -13.85,    -13.91,    -13.21,    -11.03,    -10.26,     -1.10
135.,    180.00,     -8.45,     -8.54,     -9.61,    -12.28,    -13.70,    -13.90,    -13.20,    -11.04,    -10.27,     -1.10
135.,    240.00,     -8.87,     -8.90,     -9.71,    -11.84,    -13.47,    -13.88,    -13.19,    -11.05,    -10.27,     -1.10
135.,    300.00,     -9.23,     -9.19,     -9.82,    -11.57,    -13.23,    -13.85,    -13.18,    -11.06,    -10.27,     -1.10
135.,    360.00,     -9.63,     -9.47,     -9.95,    -11.41,    -13.00,    -13.80,    -13.18,    -11.06,    -10.27,     -1.10
135.,    420.00,    -10.32,     -9.79,    -10.10,    -11.32,    -12.80,    -13.74,    -13.17,    -11.07,    -10.27,     -1.10
135.,    480.00,    -11.32,    -10.19,    -10.28,    -11.28,    -12.64,    -13.67,    -13.16,    -11.08,    -10.27,     -1.10
135.,    540.00,    -13.11,    -10.75,    -10.51,    -11.28,    -12.51,    -13.60,    -13.15,    -11.09,    -10.27,     -1.10
135.,    600.00,    -15.70,    -11.44,    -10.81,    -11.33,    -12.42,    -13.53,    -13.14,    -11.10,    -10.27,     -1.10
135.,    660.00,    -19.98,    -12.29,    -11.17,    -11.43,    -12.36,    -13.45,    -13.14,    -11.11,    -10.27,     -1.10
135.,    720.00,    -26.54,    -13.24,    -11.59,    -11.56,    -12.33,    -13.38,    -13.13,    -11.12,    -10.28,     -1.10
135.,    780.00,    -34.80,    -14.23,    -12.04,    -11.72,    -12.32,    -13.31,    -13.12,    -11.13,    -10.28,     -1.10
135.,    840.00,    -44.35,    -15.20,    -12.50,    -11.90,    -12.34,    -13.25,    -13.11,    -11.14,    -10.28,     -1.10
135.,    900.00,    -54.11,    -16.12,    -12.96,    -12.10,    -12.37,    -13.20,    -13.10,    -11.15,    -10.28,     -1.10
135.,    960.00,    -60.31,    -16.98,    -13.41,    -12.30,    -12.43,    -13.15,    -13.09,    -11.16,    -10.28,     -1.10
135.,   1020.00,    -60.54,    -17.74,    -13.83,    -12.51,    -12.49,    -13.11,    -13.08,    -11.17,    -10.28,     -1.10
135.,   1080.00,    -55.31,    -18.41,    -14.24,    -12.71,    -12.56,    -13.08,    -13.07,    -11.18,    -10.28,     -1.10
135.,   1140.00,    -47.53,    -18.97,    -14.61,    -12.92,    -12.64,    -13.06,    -13.05,    -11.19,    -10.29,     -1.10
135.,   1200.00,    -40.84,    -19.40,    -14.96,    -13.11,    -12.72,    -13.04,    -13.04,    -11.19,    -10.29,     -1.10
135.,   1260.00,    -35.88,    -19.71,    -15.28,    -13.30,    -12.81,    -13.03,    -13.03,    -11.20,    -10.29,     -1.10
135.,   1320.00,    -32.27,    -19.91,    -15.56,    -13.49,    -12.90,    -13.03,    -13.01,    -11.21,    -10.29,     -1.10
135.,   1380.00,    -29.67,    -20.01,    -15.81,    -13.67,    -13.00,    -13.03,    -13.00,    -11.22,    -10.29,     -1.10
166.,      0.00,     -6.62,     -8.21,    -14.01,    -13.96,    -13.18,    -13.05,    -12.97,    -11.23,    -10.29,     -1.10
166.,     60.00,     -8.29,     -8.86,    -11.82,    -13.80,    -13.26,    -13.06,    -12.96,    -11.24,    -10.30,     -1.10
166.,    120.00,     -9.14,     -9.41,    -11.16,    -13.38,    -13.30,    -13.07,    -12.95,    -11.25,    -10.30,     -1.10
166.,    180.00,     -9.67,     -9.81,    -10.99,    -12.95,    -13.27,    -13.09,    -12.93,    -11.26,    -10.30,     -1.10
166.,    240.00,    -10.06,    -10.12,    -10.98,    -12.60,    -13.19,    -13.10,    -12.92,    -11.26,    -10.30,     -1.10
166.,    300.00,    -10.42,    -10.37,    -11.01,    -12.36,    -13.08,    -13.11,    -12.91,    -11.27,    -10.30,     -1.10
166.,    360.00,    -10.93,    -10.63,    -11.08,    -12.20,    -12.97,    -13.11,    -12.90,    -11.28,    -10.30,     -1.10
166.,    420.00,    -11.87,    -10.97,    -11.18,    -12.10,    -12.87,    -13.10,    -12.89,    -11.28,    -10.30,     -1.10
166.,    480.00,    -13.39,    -11.44,    -11.34,    -12.05,    -12.78,    -13.08,    -12.88,    -11.29,    -10.31,     -1.10
166.,    540.00,    -16.01,    -12.07,    -11.56,    -12.04,    -12.70,    -13.06,    -12.88,    -11.30,    -10.31,     -1.10
166.,    600.00,    -20.18,    -12.87,    -11.86,    -12.08,    -12.65,    -13.04,    -12.87,    -11.31,    -10.31,     -1.10
166.,    660.00,    -27.71,    -13.82,    -12.23,    -12.16,    -12.63,    -13.02,    -12.86,    -11.31,    -10.31,     -1.10
166.,    720.00,    -40.76,    -14.87,    -12.64,    -12.28,    -12.62,    -13.00,    -12.86,    -11.32,    -10.31,     -1.10
166.,    780.00,    -61.06,    -15.93,    -13.09,    -12.43,    -12.63,    -12.98,    -12.85,    -11.33,    -10.31,     -1.10
166.,    840.00,    -92.05,    -16.95,    -13.55,    -12.60,    -12.66,    -12.97,    -12.85,    -11.34,    -10.32,     -1.10
166.,    900.00,   -132.24,    -17.90,    -14.00,    -12.78,    -12.71,    -12.95,    -12.84,    -11.35,    -10.32,     -1.10
166.,    960.00,   -169.08,    -18.77,    -14.44,    -12.97,    -12.76,    -12.94,    -12.84,    -11.35,    -10.32,     -1.10
166.,   1020.00,   -185.93,    -19.56,    -14.85,    -13.16,    -12.83,    -12.93,    -12.83,    -11.36,    -10.32,     -1.10
166.,   1080.00,   -175.14,    -20.27,    -15.24,    -13.35,    -12.90,    -12.93,    -12.83,    -11.37,    -10.32,     -1.10
166.,   1140.00,   -146.26,    -20.91,    -15.61,    -13.54,    -12.97,    -12.93,    -12.82,    -11.37,    -10.32,     -1.10
166.,   1200.00,   -116.93,    -21.49,    -15.96,    -13.72,    -13.05,    -12.94,    -12.81,    -11.38,    -10.33,     -1.10
166.,   1260.00,    -94.14,    -22.00,    -16.28,    -13.90,    -13.14,    -12.94,    -12.81,    -11.39,    -10.33,     -1.10
166.,   1320.00,    -77.19,    -22.44,    -16.59,    -14.08,    -13.22,    -12.96,    -12.80,    -11.39,    -10.33,     -1.10
166.,   1380.00,    -64.57,    -22.81,    -16.88,    -14.25,    -13.31,    -12.97,    -12.79,    -11.40,    -10.33,     -1.10
196.,      0.00,     -6.94,     -8.95,    -15.51,    -14.55,    -13.49,    -13.02,    -12.78,    -11.41,    -10.33,     -1.10
196.,     60.00,     -8.79,     -9.55,    -13.09,    -14.48,    -13.58,    -13.04,    -12.78,    -11.41,    -10.34,     -1.10
196.,    120.00,     -9.73,    -10.10,    -12.20,    -14.15,    -13.63,    -13.07,    -12.77,    -11.42,    -10.34,     -1.10
196.,    180.00,    -10.29,    -10.50,    -11.91,    -13.76,    -13.63,    -13.09,    -12.77,    -11.42,    -10.34,     -1.10
196.,    240.00,    -10.70,    -10.81,    -11.82,    -13.41,    -13.58,    -13.12,    -12.76,    -11.43,    -10.34,     -1.10
196.,    300.00,    -11.07,    -11.07,    -11.81,    -13.15,    -13.51,    -13.14,    -12.76,    -11.43,    -10.34,     -1.10
196.,    360.00,    -11.63,    -11.33,    -11.85,    -12.96,    -13.42,    -13.15,    -12.76,    -11.44,    -10.34,     -1.10
196.,    420.00,    -12.77,    -11.68,    -11.93,    -12.83,    -13.33,    -13.16,    -12.76,    -11.44,    -10.35,     -1.10
196.,    480.00,    -14.64,    -12.19,    -12.07,    -12.76,    -13.25,    -13.16,    -12.75,    -11.45,    -10.35,     -1.10
196.,    540.00,    -18.08,    -12.89,    -12.29,    -12.73,    -13.19,    -13.16,    -12.75,    -11.46,    -10.35,     -1.10
196.,    600.00,    -24.24,    -13.78,    -12.59,    -12.75,    -13.14,    -13.16,    -12.76,    -11.46,    -10.35,     -1.10
196.,    660.00,    -36.58,    -14.84,    -12.97,    -12.82,    -13.12,    -13.15,    -12.76,    -11.47,    -10.35,     -1.10
196.,    720.00,    -61.81,    -15.97,    -13.40,    -12.93,    -13.11,    -13.15,    -12.76,    -11.47,    -10.36,     -1.10
196.,    780.00,   -111.49,    -17.08,    -13.85,    -13.06,    -13.12,    -13.15,    -12.76,    -11.48,    -10.36,     -1.10
196.,    840.00,   -207.00,    -18.12,    -14.32,    -13.22,    -13.15,    -13.14,    -12.77,    -11.49,    -10.36,     -1.10
196.,    900.00,   -372.59,    -19.07,    -14.77,    -13.40,    -13.19,    -13.14,    -12.77,    -11.49,    -10.36,     -1.10
196.,    960.00,   -584.29,    -19.93,    -15.20,    -13.58,    -13.24,    -13.14,    -12.77,    -11.50,    -10.36,     -1.10
196.,   1020.00,   -733.87,    -20.70,    -15.61,    -13.76,    -13.29,    -13.14,    -12.77,    -11.50,    -10.37,     -1.10
196.,   1080.00,   -731.65,    -21.40,    -15.99,    -13.94,    -13.36,    -13.14,    -12.77,    -11.51,    -10.37,     -1.10
196.,   1140.00,   -597.21,    -22.04,    -16.35,    -14.11,    -13.42,    -13.15,    -12.77,    -11.51,    -10.37,     -1.10
196.,   1200.00,   -445.67,    -22.63,    -16.69,    -14.28,    -13.50,    -13.16,    -12.77,    -11.52,    -10.37,     -1.10
196.,   1260.00,   -335.64,    -23.18,    -17.01,    -14.45,    -13.57,    -13.17,    -12.77,    -11.52,    -10.37,     -1.10
196.,   1320.00,   -256.97,    -23.69,    -17.31,    -14.62,    -13.65,    -13.18,    -12.77,    -11.53,    -10.38,     -1.10
196.,   1380.00,   -199.93,    -24.16,    -17.60,    -14.78,    -13.73,    -13.20,    -12.77,    -11.53,    -10.38,     -1.10
227.,      0.00,     -7.05,     -9.31,    -16.37,    -15.08,    -13.90,    -13.25,    -12.77,    -11.54,    -10.38,     -1.10
227.,     60.00,     -8.99,     -9.88,    -13.82,    -15.03,    -13.98,    -13.27,    -12.78,    -11.55,    -10.38,     -1.10
227.,    120.00,     -9.99,    -10.43,    -12.80,    -14.73,    -14.03,    -13.30,    -12.78,    -11.55,    -10.39,     -1.10
227.,    180.00,    -10.60,    -10.85,    -12.43,    -14.35,    -14.04,    -13.33,    -12.78,    -11.55,    -10.39,     -1.10
227.,    240.00,    -11.03,    -11.17,    -12.31,    -13.99,    -14.00,    -13.35,    -12.78,    -11.56,    -10.39,     -1.10
227.,    300.00,    -11.36,    -11.43,    -12.28,    -13.70,    -13.93,    -13.37,    -12.78,    -11.56,    -10.39,     -1.10
227.,    360.00,    -11.74,    -11.65,    -12.30,    -13.49,    -13.85,    -13.39,    -12.78,    -11.57,    -10.39,     -1.10
227.,    420.00,    -12.60,    -11.94,    -12.34,    -13.34,    -13.76,    -13.40,    -12.78,    -11.57,    -10.40,     -1.10
227.,    480.00,    -14.22,    -12.37,    -12.44,    -13.24,    -13.68,    -13.41,    -12.79,    -11.57,    -10.40,     -1.10
227.,    540.00,    -17.25,    -13.00,    -12.62,    -13.18,    -13.61,    -13.41,    -12.79,    -11.58,    -10.40,     -1.10
227.,    600.00,    -22.63,    -13.85,    -12.88,    -13.18,    -13.55,    -13.41,    -12.80,    -11.58,    -10.40,     -1.10
227.,    660.00,    -33.51,    -14.88,    -13.23,    -13.22,    -13.52,    -13.41,    -12.80,    -11.59,    -10.41,     -1.10
227.,    720.00,    -55.93,    -16.02,    -13.64,    -13.30,    -13.50,    -13.41,    -12.81,    -11.59,    -10.41,     -1.10
227.,    780.00,    -94.12,    -17.15,    -14.09,    -13.42,    -13.50,    -13.40,    -12.82,    -11.60,    -10.41,     -1.10
227.,    840.00,   -161.24,    -18.21,    -14.54,    -13.56,    -13.51,    -13.40,    -12.82,    -11.60,    -10.41,     -1.10
227.,    900.00,   -262.02,    -19.18,    -14.99,    -13.72,    -13.54,    -13.40,    -12.83,    -11.61,    -10.41,     -1.10
227.,    960.00,   -374.32,    -20.06,    -15.43,    -13.88,    -13.57,    -13.39,    -12.83,    -11.61,    -10.42,     -1.10
227.,   1020.00,   -437.10,    -20.85,    -15.83,    -14.05,    -13.62,    -13.39,    -12.84,    -11.62,    -10.42,     -1.10
227.,   1080.00,   -393.17,    -21.57,    -16.22,    -14.22,    -13.67,    -13.39,    -12.84,    -11.62,    -10.42,     -1.10
227.,   1140.00,   -310.44,    -22.22,    -16.57,    -14.39,    -13.72,    -13.40,    -12.84,    -11.63,    -10.42,     -1.10
227.,   1200.00,   -241.36,    -22.81,    -16.91,    -14.55,    -13.79,    -13.40,    -12.85,    -11.63,    -10.43,     -1.10
227.,   1260.00,   -189.61,    -23.36,    -17.24,    -14.72,    -13.86,    -13.41,    -12.85,    -11.64,    -10.43,     -1.10
227.,   1320.00,   -150.99,    -23.86,    -17.54,    -14.88,    -13.93,    -13.42,    -12.85,    -11.64,    -10.43,     -1.10
227.,   1380.00,   -122.00,    -24.32,    -17.83,    -15.04,    -14.00,    -13.44,    -12.86,    -11.64,    -10.43,     -1.10
258.,      0.00,     -5.97,     -7.60,    -15.38,    -15.31,    -14.16,    -13.48,    -12.86,    -11.65,    -10.44,     -1.10
258.,     60.00,     -7.79,     -8.43,    -12.16,    -15.10,    -14.22,    -13.50,    -12.86,    -11.65,    -10.44,     -1.10
258.,    120.00,     -8.75,     -9.10,    -11.29,    -14.52,    -14.25,    -13.52,    -12.87,    -11.66,    -10.44,     -1.10
258.,    180.00,     -9.38,     -9.58,    -11.08,    -13.88,    -14.20,    -13.54,    -12.87,    -11.66,    -10.44,     -1.10
258.,    240.00,     -9.83,     -9.95,    -11.07,    -13.37,    -14.08,    -13.56,    -12.87,    -11.66,    -10.45,     -1.10
258.,    300.00,    -10.20,    -10.25,    -11.11,    -13.01,    -13.93,    -13.57,    -12.88,    -11.67,    -10.45,     -1.10
258.,    360.00,    -10.50,    -10.50,    -11.18,    -12.76,    -13.76,    -13.57,    -12.88,    -11.67,    -10.45,     -1.10
258.,    420.00,    -10.92,    -10.74,    -11.26,    -12.59,    -13.60,    -13.56,    -12.88,    -11.67,    -10.45,     -1.10
258.,    480.00,    -11.77,    -11.05,    -11.37,    -12.48,    -13.45,    -13.55,    -12.89,    -11.68,    -10.46,     -1.10
258.,    540.00,    -13.25,    -11.50,    -11.52,    -12.42,    -13.33,    -13.53,    -12.89,    -11.68,    -10.46,     -1.10
